LETO;DRZAVA;BDP_na_prebivalca
2008;Belgium;32840
2008;Bulgaria;4880
2008;Czechia;15540
2008;Denmark;43990
2008;Germany;31530
2008;Estonia;12430
2008;Ireland;41730
2008;Greece;21840
2008;Spain;24130
2008;France;30960
2008;Croatia;11130
2008;Italy;27640
2008;Cyprus;24170
2008;Latvia;11230
2008;Lithuania;10210
2008;Luxembourg;77940
2008;Hungary;10780
2008;Malta;15160
2008;Netherlands;39350
2008;Austria;35300
2008;Poland;9600
2008;Portugal;16960
2008;Romania;7140
2008;Slovenia;18760
2008;Slovakia;12230
2008;Finland;36560
2008;Sweden;38490
2008;United Kingdom;32280
2008;Iceland;34280
2008;Liechtenstein;NA
2008;Norway;66490
2008;Switzerland;50590
2008;Montenegro;5030
2008;North Macedonia;3310
2008;Albania;2990
2008;Serbia;4860
2008;Turkey;7400
2008;Kosovo;NA
2009;Belgium;32090
2009;Bulgaria;4930
2009;Czechia;14260
2009;Denmark;41880
2009;Germany;30390
2009;Estonia;10640
2009;Ireland;37400
2009;Greece;21390
2009;Spain;23060
2009;France;29930
2009;Croatia;10460
2009;Italy;26470
2009;Cyprus;23110
2009;Latvia;8800
2009;Lithuania;8500
2009;Luxembourg;74220
2009;Hungary;9420
2009;Malta;15180
2009;Netherlands;37800
2009;Austria;34530
2009;Poland;8240
2009;Portugal;16600
2009;Romania;6150
2009;Slovenia;17760
2009;Slovakia;11830
2009;Finland;34040
2009;Sweden;33840
2009;United Kingdom;27920
2009;Iceland;29530
2009;Liechtenstein;NA
2009;Norway;57620
2009;Switzerland;51710
2009;Montenegro;4840
2009;North Macedonia;3300
2009;Albania;2960
2009;Serbia;4440
2009;Turkey;6460
2009;Kosovo;NA
2010;Belgium;33330
2010;Bulgaria;5050
2010;Czechia;15020
2010;Denmark;43840
2010;Germany;31940
2010;Estonia;11150
2010;Ireland;36770
2010;Greece;20150
2010;Spain;23040
2010;France;30690
2010;Croatia;10520
2010;Italy;26930
2010;Cyprus;23400
2010;Latvia;8520
2010;Lithuania;9050
2010;Luxembourg;79160
2010;Hungary;9960
2010;Malta;16440
2010;Netherlands;38470
2010;Austria;35390
2010;Poland;9400
2010;Portugal;16990
2010;Romania;6200
2010;Slovenia;17750
2010;Slovakia;12560
2010;Finland;35080
2010;Sweden;39950
2010;United Kingdom;29830
2010;Iceland;32490
2010;Liechtenstein;NA
2010;Norway;66220
2010;Switzerland;58170
2010;Montenegro;5050
2010;North Macedonia;3460
2010;Albania;3090
2010;Serbia;4330
2010;Turkey;8000
2010;Kosovo;NA
2011;Belgium;34060
2011;Bulgaria;5620
2011;Czechia;15740
2011;Denmark;44500
2011;Germany;33550
2011;Estonia;12650
2011;Ireland;37340
2011;Greece;18310
2011;Spain;22760
2011;France;31510
2011;Croatia;10490
2011;Italy;27450
2011;Cyprus;23270
2011;Latvia;9870
2011;Lithuania;10340
2011;Luxembourg;83100
2011;Hungary;10230
2011;Malta;16630
2011;Netherlands;38960
2011;Austria;36970
2011;Poland;9860
2011;Portugal;16680
2011;Romania;6540
2011;Slovenia;18050
2011;Slovakia;13210
2011;Finland;36750
2011;Sweden;43690
2011;United Kingdom;30230
2011;Iceland;34130
2011;Liechtenstein;NA
2011;Norway;72350
2011;Switzerland;65750
2011;Montenegro;5270
2011;North Macedonia;3660
2011;Albania;3190
2011;Serbia;4900
2011;Turkey;8100
2011;Kosovo;NA
2012;Belgium;34770
2012;Bulgaria;5760
2012;Czechia;15470
2012;Denmark;45530
2012;Germany;34130
2012;Estonia;13620
2012;Ireland;38090
2012;Greece;17060
2012;Spain;22050
2012;France;31820
2012;Croatia;10310
2012;Italy;26920
2012;Cyprus;22500
2012;Latvia;10930
2012;Lithuania;11180
2012;Luxembourg;83000
2012;Hungary;10080
2012;Malta;17530
2012;Netherlands;38970
2012;Austria;37820
2012;Poland;10070
2012;Portugal;16010
2012;Romania;6620
2012;Slovenia;17630
2012;Slovakia;13610
2012;Finland;37130
2012;Sweden;45170
2012;United Kingdom;33140
2012;Iceland;35730
2012;Liechtenstein;NA
2012;Norway;79000
2012;Switzerland;67330
2012;Montenegro;5130
2012;North Macedonia;3680
2012;Albania;3300
2012;Serbia;4680
2012;Turkey;9090
2012;Kosovo;NA
2013;Belgium;35210
2013;Bulgaria;5770
2013;Czechia;15170
2013;Denmark;46100
2013;Germany;34860
2013;Estonia;14420
2013;Ireland;38880
2013;Greece;16380
2013;Spain;21900
2013;France;32080
2013;Croatia;10300
2013;Italy;26590
2013;Cyprus;20880
2013;Latvia;11410
2013;Lithuania;11850
2013;Luxembourg;85270
2013;Hungary;10310
2013;Malta;18650
2013;Netherlands;39300
2013;Austria;38210
2013;Poland;10190
2013;Portugal;16300
2013;Romania;7190
2013;Slovenia;17700
2013;Slovakia;13750
2013;Finland;37570
2013;Sweden;46020
2013;United Kingdom;32700
2013;Iceland;37260
2013;Liechtenstein;128380
2013;Norway;77440
2013;Switzerland;66340
2013;Montenegro;5410
2013;North Macedonia;3950
2013;Albania;3320
2013;Serbia;5080
2013;Turkey;9450
2013;Kosovo;NA
2014;Belgium;35950
2014;Bulgaria;5940
2014;Czechia;15000
2014;Denmark;47090
2014;Germany;36150
2014;Estonia;15340
2014;Ireland;41950
2014;Greece;16280
2014;Spain;22220
2014;France;32420
2014;Croatia;10250
2014;Italy;26770
2014;Cyprus;20450
2014;Latvia;11840
2014;Lithuania;12480
2014;Luxembourg;89240
2014;Hungary;10750
2014;Malta;20120
2014;Netherlands;39820
2014;Austria;38990
2014;Poland;10630
2014;Portugal;16640
2014;Romania;7570
2014;Slovenia;18250
2014;Slovakia;14080
2014;Finland;37880
2014;Sweden;45260
2014;United Kingdom;35780
2014;Iceland;40900
2014;Liechtenstein;133180
2014;Norway;73180
2014;Switzerland;67650
2014;Montenegro;5560
2014;North Macedonia;4140
2014;Albania;3450
2014;Serbia;4970
2014;Turkey;9160
2014;Kosovo;NA
2015;Belgium;36960
2015;Bulgaria;6370
2015;Czechia;16080
2015;Denmark;48050
2015;Germany;37050
2015;Estonia;15820
2015;Ireland;55980
2015;Greece;16270
2015;Spain;23220
2015;France;33020
2015;Croatia;10600
2015;Italy;27260
2015;Cyprus;21100
2015;Latvia;12420
2015;Lithuania;12860
2015;Luxembourg;91440
2015;Hungary;11450
2015;Malta;22450
2015;Netherlands;40730
2015;Austria;39890
2015;Poland;11190
2015;Portugal;17350
2015;Romania;8080
2015;Slovenia;18830
2015;Slovakia;14710
2015;Finland;38570
2015;Sweden;46480
2015;United Kingdom;40620
2015;Iceland;47400
2015;Liechtenstein;148440
2015;Norway;66980
2015;Switzerland;76400
2015;Montenegro;5870
2015;North Macedonia;4380
2015;Albania;3560
2015;Serbia;5040
2015;Turkey;9930
2015;Kosovo;NA
2016;Belgium;37960
2016;Bulgaria;6820
2016;Czechia;16790
2016;Denmark;49420
2016;Germany;38070
2016;Estonia;16670
2016;Ireland;57020
2016;Greece;16170
2016;Spain;23980
2016;France;33430
2016;Croatia;11170
2016;Italy;27970
2016;Cyprus;22230
2016;Latvia;12940
2016;Lithuania;13560
2016;Luxembourg;93930
2016;Hungary;11830
2016;Malta;23200
2016;Netherlands;41590
2016;Austria;40920
2016;Poland;11110
2016;Portugal;18060
2016;Romania;8630
2016;Slovenia;19590
2016;Slovakia;14920
2016;Finland;39580
2016;Sweden;46990
2016;United Kingdom;37080
2016;Iceland;55590
2016;Liechtenstein;147270
2016;Norway;63690
2016;Switzerland;75090
2016;Montenegro;6350
2016;North Macedonia;4660
2016;Albania;3730
2016;Serbia;5210
2016;Turkey;9910
2016;Kosovo;NA
2017;Belgium;39120
2017;Bulgaria;7400
2017;Czechia;18330
2017;Denmark;51140
2017;Germany;39440
2017;Estonia;18130
2017;Ireland;62550
2017;Greece;16470
2017;Spain;24970
2017;France;34250
2017;Croatia;11920
2017;Italy;28690
2017;Cyprus;23410
2017;Latvia;13890
2017;Lithuania;14950
2017;Luxembourg;95170
2017;Hungary;12960
2017;Malta;24920
2017;Netherlands;43090
2017;Austria;41990
2017;Poland;12170
2017;Portugal;19020
2017;Romania;9580
2017;Slovenia;20820
2017;Slovakia;15540
2017;Finland;41020
2017;Sweden;47730
2017;United Kingdom;35730
2017;Iceland;63190
2017;Liechtenstein;150490
2017;Norway;66950
2017;Switzerland;73830
2017;Montenegro;6910
2017;North Macedonia;4840
2017;Albania;4020
2017;Serbia;5590
2017;Turkey;9470
2017;Kosovo;NA
2018;Belgium;40290
2018;Bulgaria;7990
2018;Czechia;19850
2018;Denmark;52190
2018;Germany;40480
2018;Estonia;19660
2018;Ireland;67270
2018;Greece;16750
2018;Spain;25770
2018;France;35100
2018;Croatia;12700
2018;Italy;29290
2018;Cyprus;24630
2018;Latvia;15130
2018;Lithuania;16240
2018;Luxembourg;98640
2018;Hungary;13910
2018;Malta;25780
2018;Netherlands;44920
2018;Austria;43600
2018;Poland;12960
2018;Portugal;19950
2018;Romania;10500
2018;Slovenia;22130
2018;Slovakia;16440
2018;Finland;42360
2018;Sweden;46260
2018;United Kingdom;36440
2018;Iceland;61800
2018;Liechtenstein;150130
2018;Norway;69260
2018;Switzerland;73180
2018;Montenegro;7490
2018;North Macedonia;NA
2018;Albania;4470
2018;Serbia;6140
2018;Turkey;8090
2018;Kosovo;NA
2019;Belgium;41460
2019;Bulgaria;8780
2019;Czechia;20990
2019;Denmark;53760
2019;Germany;41510
2019;Estonia;21220
2019;Ireland;72260
2019;Greece;17100
2019;Spain;26430
2019;France;35960
2019;Croatia;13340
2019;Italy;29660
2019;Cyprus;25310
2019;Latvia;15920
2019;Lithuania;17460
2019;Luxembourg;102200
2019;Hungary;14950
2019;Malta;26670
2019;Netherlands;46710
2019;Austria;44780
2019;Poland;13870
2019;Portugal;20740
2019;Romania;11530
2019;Slovenia;23170
2019;Slovakia;17210
2019;Finland;43570
2019;Sweden;46160
2019;United Kingdom;37770
2019;Iceland;60000
2019;Liechtenstein;NA
2019;Norway;67370
2019;Switzerland;76200
2019;Montenegro;7960
2019;North Macedonia;NA
2019;Albania;4780
2019;Serbia;6620
2019;Turkey;8230
2019;Kosovo;NA
